,city,geo
101,Frankfurt,DE
102,Turin,IT
103,Brussels,BE
104,Amsterdam,NL
105,Budapest,HU
106,Budapest,HU
107,Paris,FR
108,Sofia,BG
109,Berlin,DE
110,Düsseldorf,DE
111,Berlin,DE
112,Frankfurt,DE
113,Amsterdam,NL
114,Amsterdam,NL
115,Zwolle,NL
116,Herford,DE
117,Boras,SE
118,Montpellier,FR
119,Saint-Etienne,FR
120,Amsterdam,NL
121,Paris,FR
122,København S,DK
123,Malmö,SE
124,Ede,NL
125,Prague,CZ
126,Groningen,NL
127,Hamburg,DE
128,Berlin,DE
129,Gothenburg,SE
130,Bucharest,RO
131,Amsterdam,NL
132,Capelle aan den IJssel,NL
133,Nuremberg,DE
134,Berlin,DE
135,Berlin,DE
136,Regensburg,DE
137,Frankfurt,DE
138,Lisbon,PT
139,Warsaw,PL
140,Solna,SE
141,Berlin,DE
142,Bratislava,SK
143,Nuremberg,DE
144,Stuttgart,DE
145,Berlin,DE
146,Munich,DE
147,Malmö,SE
148,Amsterdam,NL
149,Dublin,IE
150,Dueren,DE
151,Alphen aan den Rijn,NL
152,Paris,FR
153,Paris,FR
154,Ascoli Piceno,IT
155,Warsaw,PL
156,Vienna,AT
157,Nuremberg,DE
158,Nuremberg,DE
159,Steenbergen,NL
160,Prague,CZ
161,Eemshaven,NL
162,Lyngby,DK
163,Schiltigheim,FR
164,Capelle aan den IJssel,NL
165,Rotterdam,NL
166,Milan,IT
167,Rome,IT
168,Nijmegen,NL
169,Dronten,NL
170,Bratislava,SK
171,Montpellier,FR
172,Kolding,DK
173,Düsseldorf,DE
174,Peague 3,CZ
175,Bochum,DE
176,Mahlow,DE
177,Amsterdam,NL
178,Frankfurt,DE
179,Zagreb,HR
180,Wroclaw,PL
181,Antibes,FR
182,Cork City,IE
183,Rouen,FR
184,Galway,IE
185,Taastrup,DK
186,Magny-les-Hameaux,FR
187,Merelbeke,BE
188,Milan,IT
189,Machelen,BE
190,Vitry-sur-Seine,FR
191,Amsterdam,NL
192,Villers-le-Bouillet,BE
193,Sofia,BG
194,Sofia,BG
195,Sofia,BG
196,Sofia,BG
197,Ruse,BG
198,Varna,BG
199,Burgas,BG
200,Plovdiv,BG
201,Rotterdam,NL
202,Frankfurt,DE
203,Stockholm,SE
204,Berlin,DE
205,Norderstedt,DE
206,Bochum,DE
207,Rijen,NL
208,Turin,IT
209,Paris,FR
210,Paris,FR
211,Machelen,BE
212,Paris,FR
213,Bordeaux,FR
214,Caen,FR
215,Cesson-Sévigné,FR
216,Dijon,FR
217,Grenoble,FR
218,La Garenne Colombes,FR
219,Lyon,FR
220,Nantes,FR
221,Poitiers,FR
222,Rennes,FR
223,Saint Etienne du Rouvray,FR
224,Tours,FR
225,Vélizy-Villacoublay,FR
226,Thillois,FR
227,Jena,DE
228,Jena,DE
229,Stockholm,SE
230,Riga,LV
231,Riga,LV
232,Kiel,DE
233,Frankfurt,DE
234,Hannover,DE
235,Dresden,DE
236,Leipzig,DE
237,Hamburg,DE
238,Düsseldorf,DE
239,Cologne,DE
240,Munich,DE
241,Nuremberg,DE
242,Milan,IT
243,Bucharest,RO
244,Klagenfurt,AT
245,Klagenfurt am Wörthersee,AT
246,Hamburg,DE
247,Dublin,IE
248,Tallinn,EE
249,Vilnius,LT
250,Riga,LV
251,Hamburg,DE
252,Bucharest,RO
253,Helsinki,FI
254,Frankfurt,DE
255,Frankfurt,DE
256,Villebon-sur-Yvette,FR
257,Copenhagen,DK
258,Reims,FR
259,Reims,FR
260,Amsterdam,NL
261,Alkmaar,NL
262,Zagreb,HR
263,Paris,FR
264,Skanderborg,DK
265,Aarhus,DK
266,Stockholm,SE
267,Rotterdam,NL
268,Saint-Denis,FR
269,Dronten,NL
270,Kiel,DE
271,Munich,DE
272,Milan,IT
273,Rostock,DE
274,Kiel,DE
275,Bremen,DE
276,Bielefeld,DE
277,Magdeburg,DE
278,Dortmund,DE
279,Mannheim,DE
280,Stuttgart,DE
281,Karlsruhe,DE
282,Würzburg,DE
283,Erfurt,DE
284,Ljubljana,SI
285,Ljubljana,SI
286,Milan,IT
287,Milan,IT
288,Vienna,AT
289,Graz,AT
290,Lyon,FR
291,Bettembourg,LU
292,Palermo,IT
293,Palermo,IT
294,Västra Frölunda,SE
295,Frankfurt,DE
296,Frankfurt am Main,DE
297,Bucharest,RO
298,Berlin,DE
299,Frankfurt,DE
300,Bucharest,RO
301,Prague,CZ
302,Brno,CZ
303,Bucharest,RO
304,Hengelo,NL
305,Warsaw,PL
306,Lille,FR
307,Dublin,IE
308,Katowice,PL
309,Katowice,PL
310,Utrecht,NL
311,Paris,FR
312,Plérin,FR
313,Amsterdam,NL
314,Linz,AT
315,Wels,AT
316,Voesendorf,AT
317,Perg,AT
318,Luxembourg,LU
319,Bettembourg,LU
320,Bettembourg,LU
321,Bissen,LU
322,Rome,IT
323,Vilvoorde,BE
324,Stockholm,SE
325,Ljubljana,SI
326,Enschede,NL
327,Dublin,IE
328,Labege Innopole,FR
329,Mogilno,PL
330,Windhof,LU
331,Amsterdam,NL
332,Kayl,LU
333,Les Lilas,FR
334,Hasselt,BE
335,Graz,AT
336,Spijkenisse,NL
337,Warsaw,PL
338,Toulouse Balma,FR
339,Paris,FR
340,Toulouse,FR
341,Feldkirch,AT
342,Balma,FR
343,Barcelona,ES
344,Aalst,BE
345,Karlsruhe,DE
346,Karlsruhe,DE
347,Karlsruhe,DE
348,San Cristóbal de La Laguna,ES
349,Roubaix,FR
350,Munich,DE
351,Hamburg,DE
352,Paris,FR
353,Amsterdam,NL
354,Alixan,FR
355,Alblasserdam,NL
356,Amsterdam,NL
357,Bissen,LU
358,Paris,FR
359,Salzburg,AT
360,Limonest,FR
361,Bamberg,DE
362,Aubière,FR
363,Nuremberg,DE
364,San Javier,ES
365,Paderborn,DE
366,Vienna,AT
367,Stockholm,SE
368,Spijkenisse,NL
369,Amsterdam,NL
370,Amsterdam,NL
371,Frankfurt,DE
372,Düsseldorf,DE
373,Delft,NL
374,IJsselstein,NL
375,Espoo,FI
376,Hilversum,NL
377,Zagreb,HR
378,Sainghin-en-Mélantois,FR
379,Munich,DE
380,Malmö,SE
381,Malmö,SE
382,Goes,NL
383,Rouen,FR
384,Vitry-sur-Seine,FR
385,Eindhoven,NL
386,Vienna,AT
387,Turin,IT
388,Turin,IT
389,Helsinki,FI
390,Vantaa,FI
391,Helsinki,FI
392,Zoetermeer,NL
393,Krakow,PL
394,Krakow,PL
395,Glostrup,DK
396,Villeurbanne,FR
397,Hamburg,DE
398,Ancona,IT
399,Katowice,PL
400,Madrid,ES
401,Linz,AT
402,Linz,AT
403,Paris,FR
404,Zaventem,BE
405,Stockholm,SE
406,Stockholm,SE
407,Salerno,IT
408,Paris,FR
409,Prague,CZ
410,Stockholm,SE
411,Gothenburg,SE
412,Stockholm,SE
413,Sundsvall,SE
414,Stockholm,SE
415,Luleå,SE
416,Bucharest,RO
417,Berlin,DE
418,Ghent,BE
419,Zuidbroek,NL
420,Groningen,NL
421,Warsaw,PL
422,Sofia,BG
423,Bremen,DE
424,Arnhem,NL
425,Bremen,DE
426,Hamburg,DE
427,Hamburg,DE
428,San Benedetto del Tronto,IT
429,Bucharest,RO
430,Malmö,SE
431,Vienna,AT
432,Valby,DK
433,Munich,DE
434,Paris,FR
435,Amiens,FR
436,Amiens,FR
437,Lognes,FR
438,Ferrara,IT
439,Bologna,IT
440,Bucharest,RO
441,Fulda,DE
442,Bremen,DE
443,Bremen,DE
444,Bremen,DE
445,Brno,CZ
446,Brno,CZ
447,Meppel,NL
448,Olomouc,CZ
449,Val de Reuil,FR
450,Prague 6,CZ
451,Helsinki,FI
452,Lambersart,FR
453,Bouliac,FR
454,Helsinki,FI
455,Espoo,FI
456,Munich,DE
457,Madrid,ES
458,Paris,FR
459,Málaga,ES
460,The Hague,NL
461,Toulouse,FR
462,Marseille,FR
463,Marly,FR
464,Turin,IT
465,Bievres,FR
466,Sofia,BG
467,Padova,IT
468,Koropi,GR
469,Milan,IT
470,Stuttgart,DE
471,Madrid,ES
472,San Sebastián,ES
473,Stuttgart,DE
474,Hardenberg,NL
475,Warsaw,PL
476,Białystok,PL
477,Bydgoszcz,PL
478,Gdansk,PL
479,Katowice,PL
480,Kielce,PL
481,Krakow,PL
482,Lublin,PL
483,Łódź,PL
484,Olsztyn,PL
485,Poznan,PL
486,Rzeszów,PL
487,Szczecin,PL
488,Wroclaw,PL
489,Groningen,NL
490,Torrevieja,ES
491,Katowice,PL
492,Cébazat,FR
493,Dublin,IE
494,Munich,DE
495,Bratislava,SK
496,Košice,SK
497,Dublin,IE
498,Vienna,AT
499,Contern,LU
500,Tallinn,EE
501,Bucharest,RO
502,Courbevoie,FR
503,Bucharest,RO
504,Salzburg,AT
505,Salzburg,AT
506,Hannover,DE
507,Prague,CZ
508,Amiens,FR
509,Usingen/Neu-Anspach,DE
510,Eindhoven,NL
511,Zlin,CZ
512,Les Milles,FR
513,Upplands Väsby,SE
514,Dublin,IE
515,Prague,CZ
516,Athens,GR
517,Innsbruck,AT
518,Hall in Tirol,AT
519,Heerlen,NL
520,Stuttgart,DE
521,Düsseldorf,DE
522,Hamburg,DE
523,Tampere,FI
524,Dublin,IE
525,Spanga,SE
526,Warsaw,PL
527,Vienna,AT
528,Warsaw,PL
529,Paterna,ES
530,Stuttgart,DE
531,Darmstadt,DE
532,Rotterdam,NL
533,Saint Aunes,FR
534,Poznan,PL
535,Poznan,PL
536,Poznan,PL
537,Poznan,PL
538,Poznan,PL
539,Quarrata,IT
540,Szczecin,PL
541,Espoo,FI
542,Riga,LV
543,Karlskrona,SE
544,Warsaw,PL
545,Turin,IT
546,Schwerin,DE
547,Amsterdam,NL
548,Valenciennes,FR
549,Bremen,DE
550,Bremen,DE
551,Bremen,DE
552,Frankfurt,DE
553,Bremen,DE
554,Sofia,BG
555,Gellainville Cedex,FR
556,Siziano,IT
557,Sartrouville,FR
558,Malmö,SE
559,Kiel,DE
560,Warsaw,PL
561,Carquefou,FR
562,Rüsselsheim,DE
563,Frankfurt,DE
564,Alcantarilla,ES
565,Lisbon,PT
566,Athens,GR
567,Saint Trivier sur Moignans,FR
568,L'Hospitalet de Llobregat,ES
569,Vilnius,LT
570,Herne,DE
571,Milan,IT
572,Amsterdam,NL
573,Warsaw,PL
574,Metamorfosi,GR
575,Nuremberg,DE
576,Eindhoven,NL
577,Limassol,CY
578,Madrid,ES
579,Vienna,AT
580,Vienna,AT
581,Vienna,AT
582,Bucharest,RO
583,Bucharest,RO
584,Karlsruhe,DE
585,Helmond,NL
586,Stockholm,SE
587,Grenoble,FR
588,León,ES
589,Espoo,FI
590,Helsinki,FI
591,Tampere,FI
592,Bucharest,RO
593,Brasov,RO
594,Falkenstein,DE
595,Nuremberg,DE
596,Copenhagen,DK
597,Ljusterö,SE
598,Sofia,BG
599,Sofia,BG
600,Seville,ES
601,Prague,CZ
602,Pau,FR
603,Karlsruhe,DE
604,Zabrze,PL
605,Marcoussis,FR
606,Cornaredo (MI),IT
607,Bettembourg,LU
608,Malmö,SE
609,Piacenza,IT
610,Stockholm,SE
611,Łódź,PL
612,Den Bosch,NL
613,Eindhoven,NL
614,Dublin,IE
615,Katowice,PL
616,Budapest,HU
617,Milan,IT
618,Krakow,PL
619,Krakow,PL
620,St Jean De Maurienne,FR
621,Düsseldorf,DE
622,Berlin,DE
623,Frankfurt am Main,DE
624,Saint-Herblain,FR
625,La Chapelle-sur-Erdre,FR
626,Saint-Herblain,FR
627,Rezé,FR
628,Lublin,PL
629,Hannover,DE
630,Unterschleißheim,DE
631,Gütersloh,DE
632,Vesoul,FR
633,Skanderborg,DK
634,Toruń,PL
635,Bratislava,SK
636,Düsseldorf,DE
637,Alcantarilla,ES
638,Eschbach,DE
639,Treviolo,IT
640,Aschheim,DE
641,Latina,IT
642,Hvidovre,DK
643,Aalborg,DK
644,Amsterdam,NL
645,Schiphol Rijk,NL
646,Wormer,NL
647,Bucharest,RO
648,Bucharest,RO
649,Cluj Napoca,RO
650,Schiphol Rijk,NL
651,Leuven,BE
652,Solna,SE
653,Thessaloniki,GR
654,Tuusula,FI
655,Gliwice,PL
656,Erfurt,DE
657,Karlsruhe,DE
658,HUDIKSVALL,SE
659,Innsbruck,AT
660,Innsbruck,AT
661,Munich,DE
662,Saarwellingen,DE
663,Saarwellingen,DE
664,Prague,CZ
665,Copenhagen,DK
666,Berlin,DE
667,Paris,FR
668,Paris,FR
669,Paris,FR
670,Frankfurt,DE
671,Hamburg,DE
672,Amsterdam,NL
673,Rosendaal,NL
674,Barcelona,ES
675,Madrid,ES
676,Amsterdam,NL
677,Zagreb,HR
678,Sisak,HR
679,Dubovac,HR
680,Slobodnica,HR
681,Mirkovci,HR
682,Ilok,HR
683,Capaccio-Paestum,IT
684,Nola,IT
685,Frankfurt,DE
686,Pozuelo de Alarcón,ES
687,Hallstadt,DE
688,Dublin,IE
689,Rome,IT
690,Almere,NL
691,Bonn,DE
692,Frankfurt,DE
693,Marburg,DE
694,Hengelo,NL
695,Bielefeld,DE
696,Prague,CZ
697,Prior Velho,PT
698,Prague,CZ
699,Prague,CZ
700,Rezé,FR
701,Montana,BG
702,Woerden,NL
703,Frankfurt,DE
704,Dublin,IE
705,Almere,NL
706,Almere,NL
707,Reutlingen,DE
708,Amsterdam,NL
709,Tallinn,EE
710,Vilnius,LT
711,Milan,IT
712,Murcia,ES
713,Seville,ES
714,Vilnius,LT
715,Vilnius,LT
716,Amsterdam,NL
717,Uherske Hradiste,CZ
718,Brescia,IT
719,Brescia,IT
720,Padova,IT
721,Padova,IT
722,Amsterdam,NL
723,Frankfurt,DE
724,Rome,IT
725,Palma,ES
726,Vilnius,LT
727,Hoofddorp,NL
728,Prague,CZ
729,Frankfurt,DE
730,Vilnius,LT
731,Cesson-Sévigné,FR
732,Eindhoven,NL
733,Rotterdam,NL
734,Marousi,GR
735,Madrid,ES
736,Gdynia,PL
737,Drobeta Turnu Severin,RO
738,Taucha,DE
739,Luxembourg,LU
740,Jyväskylä,FI
741,Copenhagen,DK
742,Albertslund,DK
743,Odense,DK
744,Nørre Nebel,DK
745,Civrieux,FR
746,Konstanz,DE
747,Vilnius,LT
748,Bordeaux,FR
749,Trzin,SI
750,Ljubljana,SI
751,Croissy Beaubourg,FR
752,Cologne,DE
753,Düsseldorf,DE
754,Eslettes,FR
755,Annecy,FR
756,Padova,IT
757,Gembloux,BE
758,Maastricht,NL
759,Paris,FR
760,Montpellier,FR
761,Balma,FR
762,Amsterdam,NL
763,Madrid,ES
764,Eggenstein-Leopoldshafen,DE
765,Karlsruhe,DE
766,Leverkusen,DE
767,Arezzo,IT
768,Arezzo,IT
769,Ponte San Pietro,IT
770,Schiphol Rijk,NL
771,Offenbach,DE
772,Riga,LV
773,Carlow,IE
774,Budapest,HU
775,Lisbon,PT
776,Pötschach,AT
777,Kista,SE
778,Woerden,NL
779,Schweinfurt,DE
780,Tallinn,EE
781,Stuttgart,DE
782,Krakow,PL
783,Cesson-Sévigné,FR
784,Alcobendas,ES
785,Strasbourg,FR
786,Ede,NL
787,Eygelshoven,NL
788,Sofia,BG
789,Tallinn,EE
790,Turin,IT
791,Dublin,IE
792,Helsinki,FI
793,Paterna,ES
794,Arad,RO
795,Arad,RO
796,Craiova,RO
797,Cluj Napoca,RO
798,Timisoara,RO
799,Carini,IT
800,Iași,RO
801,Waalwijk,NL
802,Groenekan,NL
803,Arnhem,NL
804,Warsaw,PL
805,Skärholmen,SE
806,Sollentuna,SE
807,Tallinn,EE
808,Rzeszów,PL
809,Nanterre,FR
810,Valencia,ES
811,Prague,CZ
812,Nice,FR
813,Nanterre,FR
814,Athens,GR
815,Thessaloniki,GR
816,Helsinki,FI
817,Leipzig,DE
818,Dresden,DE
819,Sint-Lambrechts-Woluwe,BE
820,Brno,CZ
821,Ivančice,CZ
822,Hasselt,BE
823,Merate,IT
824,Cluj Napoca,RO
825,Sofia,BG
826,Kapitan Andreevo,BG
827,Betzdorf,LU
828,Milan,IT
829,Anzin - Valenciennes,FR
830,Villeneuve d'Ascq,FR
831,Lezennes,FR
832,Perugia,IT
833,Naaldwijk,NL
834,Naaldwijk,NL
835,Ljubljana,SI
836,Albertslund,DK
837,Thessaloniki,GR
838,Erfurt,DE
839,Antwerp,BE
840,Würzburg,DE
841,Amsterdam,NL
842,Saint-Saturnin,FR
843,Huskvarna,SE
844,Cagliari,IT
845,Padua,IT
846,Lisbon,PT
847,Montreuil,FR
848,Santa Lucia di Piave (TV),IT
849,Milan,IT
850,Aerzen,DE
851,Tampere,FI
852,Vantaa,FI
853,Harjunpää,FI
854,Lyon,FR
855,Warsaw,PL
856,Veselí nad Lužnicí,CZ
857,La Ciotat,FR
858,Alcalá de Henares,ES
859,Balingen,DE
860,Sofia,BG
861,Espoo,FI
862,Warsaw,PL
863,Seyssinet-Pariset,FR
864,Bremen,DE
865,Leeuwarden,NL
866,Leeuwarden,NL
867,Saint-Ouen-l'Aumône,FR
868,Aubervilliers,FR
869,Marseille,FR
870,Hamburg,DE
871,Kofinou,CY
872,Gelsenkirchen,DE
873,Verona,IT
874,Rome,IT
875,Trento,IT
876,Madrid,ES
877,Rozenburg,NL
878,Hattersheim am Main,DE
879,Frankfurt,DE
880,Vreden,DE
881,Stadtlohn,DE
882,Hengelo,NL
883,Prague,CZ
884,Cluj Napoca,RO
885,Göppingen,DE
886,Villeurbanne,FR
887,Mutterstadt,DE
888,Mutterstadt,DE
889,Hamburg,DE
890,Hamburg,DE
891,Ostermiething,AT
892,Hannover,DE
893,Lehrte,DE
894,Tübingen,DE
895,Reutlingen,DE
896,Alfafar,ES
897,Benahavis,ES
898,Hilden,DE
899,Nanterre,FR
900,Baden-Baden,DE
901,Halfweg,NL
902,Frankfurt,DE
903,Dublin,IE
904,Tønder,DK
905,Trappes,FR
906,Hamburg,DE
907,Prato,IT
908,Nuoro,IT
909,Leverkusen,DE
910,Frankfurt,DE
911,Bremen,DE
912,Wroclaw,PL
913,Helsinki,FI
914,Maribor,SI
915,Krakow,PL
916,Ljubljana,SI
917,Pisa,IT
918,Lüdenscheid,DE
919,Lamezia Terme,IT
920,Wolfsburg,DE
921,Apeldoorn,NL
922,Madrid,ES
923,Hamburg,DE
924,Hamburg,DE
925,Norderstedt,DE
926,Reims,FR
927,Reims,FR
928,Koper,SI
929,Brussels,BE
930,Paterna,ES
931,Haarlem,NL
932,Voluntari,RO
933,Windhof,LU
934,Espoo,FI
935,Turku,FI
936,Vélizy-Villacoublay,FR
937,Amsterdam,NL
938,La Spezia,IT
939,Bielefeld,DE
940,Paris,FR
941,Vernole,IT
942,Bucharest,RO
943,Bolzano,IT
944,Pasian di Prato,IT
945,Pordenone,IT
946,Villeurbanne,FR
947,Champs-sur-Marne,FR
948,Esbjerg,DK
949,Reutlingen,DE
950,Villers-le-Bouillet,BE
951,Hof,DE
952,Hofheim am Taunus,DE
953,Haskovo,BG
954,Wyszków,PL
955,Hoofddorp,NL
956,Copenhagen,DK
957,Nanterre,FR
958,Courbevoie,FR
959,Alsbach-Hähnlein,DE
960,Tallinn,EE
961,Fidenza,IT
962,Bregenz,AT
963,Auxerre,FR
964,Remscheid,DE
965,Rijen,NL
966,Hamburg,DE
967,Budapest,HU
968,Antwerp,BE
969,Helsinki,FI
970,Vélizy-Villacoublay,FR
971,Derio,ES
972,Pontarlier,FR
973,Münster,DE
974,Gävle,SE
975,Falkenberg,SE
976,Hilden,DE
977,Leipzig,DE
978,Berlin,DE
979,Rotunda,RO
980,Gruenwald,DE
981,Besançon,FR
982,Gothenburg,SE
983,Roermond,NL
984,Verden,DE
985,Aimargues,FR
986,Lyngby,DK
987,Wroclaw,PL
988,Frankfurt,DE
989,Bologna,IT
990,Hamburg,DE
991,Pomezia,IT
992,Lübeck,DE
993,Olsztyn,PL
994,Växjö,SE
995,Karlshamn,SE
996,Sant Adrià de Besòs,ES
997,Bremen,DE
998,Opole,PL
999,Dublin,IE
1000,Milan,IT
1001,Kelsterbach,DE
1002,Offenbach,DE
1003,Zduńska Wola,PL
1004,Den Helder,NL
1005,Bensheim,DE
1006,Bensheim,DE
1007,Hørning,DK
1008,Dortmund,DE
1009,Halfweg,NL
1010,Aversa,IT
1011,Warsaw,PL
1012,Karlsruhe,DE
1013,Rende,IT
1014,Gelsenkirchen,DE
1015,Brussels,BE
1016,Højbjerg,DK
1017,Ballerup,DK
1018,Evere,BE
1019,Machelen,BE
1020,Mörfelden-Walldorf,DE
1021,Dortmund,DE
1022,Grojec,PL
1023,Skawina,PL
1024,Ivry-sur-Seine,FR
1025,Chiajna,RO
1026,Enschede,NL
1027,Oulu,FI
1028,Alcobendas,ES
1029,Marcoussis,FR
1030,Poznan,PL
1031,Poznan,PL
1032,Hisings Kärra,SE
1033,Järfälla,SE
1034,Peltre,FR
1035,Rotterdam,NL
1036,Nieuwegein,NL
1037,Chavanod,FR
1038,The Hague,NL
1039,5 Settimo Milanese,IT
1040,Pamiers,FR
1041,Prague,CZ
1042,Saarbrücken,DE
1043,Tours,FR
1044,Tours,FR
1045,Beersel,BE
1046,Copenhagen N,DK
1047,Pisa,IT
1048,Grenoble,FR
1049,Besançon,FR
1050,Bucharest,RO
1051,Sibiu,RO
1052,Brăila,RO
1053,Walsrode,DE
1054,Frosinone,IT
1055,Appenweier,DE
1056,Augsburg,DE
1057,Hallein,AT
1058,Aschheim,DE
1059,Grenoble,FR
1060,Oulu,FI
1061,Oulu,FI
1062,Bruges,FR
1063,Las Rozas de Madrid,ES
1064,Prague,CZ
1065,Bad Oeynhausen,DE
1066,Limburg an der Lahn,DE
1067,Belfort,FR
1068,Blanchardstown,IE
1069,Canteleu,FR
1070,Sattledt,AT
1071,Paris,FR
1072,Ploiesti,RO
1073,Sundsvall,SE
1074,Vienna,AT
1075,Vienna,AT
1076,Vienna,AT
1077,Vienna,AT
1078,Vienna,AT
1079,Vienna,AT
1080,Vienna,AT
1081,Vienna,AT
1082,Vienna,AT
1083,Vienna,AT
1084,Vienna,AT
1085,Vienna,AT
1086,Vienna,AT
1087,Cluj Napoca,RO
1088,Breda,NL
1089,Arrecife,ES
1090,Kirchlinteln,DE
1091,Kleinmachnow,DE
1092,Riga,LV
1093,Sant Boi de Llobregat,ES
1094,Szombathely,HU
1095,Albi,FR
1096,Rotunda,RO
1097,Berlin,DE
1098,Aubergenville,FR
1099,Bonn,DE
1100,Bremen,DE
1101,Barleben,DE
1102,Hürth,DE
1103,Hilden,DE
1104,Hilden,DE
1105,Hirschbach,DE
1106,Gladbeck,DE
1107,Eschborn,DE
1108,Frankfurt,DE
1109,Hannover,DE
1110,Hannover,DE
1111,Hamburg,DE
1112,Hamburg,DE
1113,Kehl,DE
1114,Schkeuditz,DE
1115,Garching bei München,DE
1116,Garching bei München,DE
1117,Nuremberg,DE
1118,Stuttgart,DE
1119,Stuttgart,DE
1120,Velten,DE
1121,Graz,AT
1122,Salzburg,AT
1123,Vienna,AT
1124,Antwerp,BE
1125,Zedelgem,BE
1126,Zaventem,BE
1127,Liege,BE
1128,Châteaubourg,FR
1129,Frankfurt,DE
1130,Sequedin,FR
1131,Nice,FR
1132,Nancy,FR
1133,Poitiers,FR
1134,Strasbourg,FR
1135,Toulouse,FR
1136,Vauchelles,FR
1137,Willerval,FR
1138,Ychoux,FR
1139,Oostkamp,BE
1140,Zwijndrecht,BE
1141,Rotterdam,NL
1142,Soesterberg,NL
1143,Basauri,ES
1144,Hereña,ES
1145,Valencia,ES
1146,Bari,IT
1147,Haar,DE
1148,Antwerp,BE
1149,Venice,IT
1150,Saue vald,EE
1151,Milan,IT
1152,Berlin,DE
1153,Tjerkgaast,NL
1154,Kiel,DE
1155,Saint-Herblain,FR
1156,Carquefou,FR
1157,Couëron,FR
1158,La Roche-sur-Yon,FR
1159,Tourcoing,FR
1160,Kolding,DK
1161,Sofia,BG
1162,Stolnik,BG
1163,Rome,IT
1164,Kehrsen,DE
1165,Bremen,DE
1166,Bremen,DE
1167,Berlin,DE
1168,Meerbusch,DE
1169,Berlin,DE
1170,"Glostrup, Copenhagen",DK
1171,Geleen,NL
1172,Leipzig,DE
1173,Regensburg,DE
1174,Regensburg,DE
1175,Lappersdorf,DE
1176,Langen,DE
1177,Brunello,IT
1178,Rheine,DE
1179,Emsdetten,DE
1180,Nordhorn,DE
1181,Greven,DE
1182,Münster,DE
1183,Lindau,DE
1184,Jawczyce,PL
1185,Grodzisk Mazowiecki,PL
1186,Jaworzno,PL
1187,Poznan,PL
1188,Montigny-le-Bretonneux,FR
1189,Burgas,BG
1190,Rome,IT
1191,Lund,SE
1192,Hamburg,DE
1193,Cologne,DE
1194,Settimo Milanese (MI),IT
1195,Milan,IT
1196,Ellhofen,DE
1197,Zaventem,BE
1198,Zaventem,BE
1199,Wiesbaden,DE
1200,Groningen,NL
1201,Kloetinge,NL
1202,Gdansk,PL
1203,Gdynia,PL
1204,Oulu,FI
1205,Boissano,IT
1206,Valbonne,FR
1207,Lognes,FR
1208,Illkirch-Graffenstaden,FR
1209,Madrid,ES
1210,Frankfurt,DE
1211,Paris,FR
1212,Rome,IT
1213,Zagreb,HR
1214,Zaventem,BE
1215,Aachen,DE
1216,Coburg,DE
1217,Coburg,DE
1218,Deventer,NL
1219,Apeldoorn,NL
1220,Culemborg,NL
1221,Dodewaard,NL
1222,Doetinchem,NL
1223,Eemshaven,NL
1224,Ens,NL
1225,Fanø,DK
1226,Hooghalen,NL
1227,Krimpen aan den IJssel,NL
1228,Lelystad,NL
1229,Maasbracht,NL
1230,Middenmeer,NL
1231,Zwolle,NL
