gas,gas_name,sector,sector_name,geo,country,year,emissions
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,EU27_2020,European Union - 27 countries (from 2020),2019,894.51528
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,EU27_2020,European Union - 27 countries (from 2020),2020,768.01351
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,EU27_2020,European Union - 27 countries (from 2020),2021,830.45353
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,EU27_2020,European Union - 27 countries (from 2020),2022,849.85319
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,EU27_2020,European Union - 27 countries (from 2020),2023,690.4829
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,EU27_2020,European Union - 27 countries (from 2020),2024,634.77061
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,FI,Finland,2015,17.41395
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,FI,Finland,2016,18.75515
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,FI,Finland,2017,17.14262
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,FI,Finland,2018,18.26886
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,FI,Finland,2019,15.83277
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,FI,Finland,2020,12.72879
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,FI,Finland,2021,13.0511
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,FI,Finland,2022,12.54742
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,FI,Finland,2023,9.74599
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,FI,Finland,2024,8.14454
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,FR,France,2015,44.68567
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,FR,France,2016,48.19267
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,FR,France,2017,52.09353
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,FR,France,2018,42.70408
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,FR,France,2019,41.33581
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,FR,France,2020,36.90964
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,FR,France,2021,39.52329
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,FR,France,2022,41.19931
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,FR,France,2023,33.46075
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,FR,France,2024,28.32377
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,HR,Croatia,2015,4.71882
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,HR,Croatia,2016,4.84679
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,HR,Croatia,2017,4.46477
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,HR,Croatia,2018,3.90781
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,HR,Croatia,2019,3.8785
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,HR,Croatia,2020,3.66113
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,HR,Croatia,2021,3.73098
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,HR,Croatia,2022,4.06271
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,HR,Croatia,2023,4.05435
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,HR,Croatia,2024,3.13805
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,HU,Hungary,2015,13.69029
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,HU,Hungary,2016,13.45011
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,HU,Hungary,2017,13.76351
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,HU,Hungary,2018,13.01145
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,HU,Hungary,2019,12.50489
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,HU,Hungary,2020,12.26106
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,HU,Hungary,2021,11.42264
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,HU,Hungary,2022,10.66445
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,HU,Hungary,2023,9.18504
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,HU,Hungary,2024,8.65967
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,IE,Ireland,2015,11.7375
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,IE,Ireland,2016,12.44258
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,IE,Ireland,2017,11.62763
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,IE,Ireland,2018,10.30323
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,IE,Ireland,2019,9.06179
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,IE,Ireland,2020,8.42962
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,IE,Ireland,2021,9.97847
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,IE,Ireland,2022,9.78845
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,IE,Ireland,2023,7.65775
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,IE,Ireland,2024,6.96009
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,IS,Iceland,2015,0.00418
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,IS,Iceland,2016,0.00236
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,IS,Iceland,2017,0.00231
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,IS,Iceland,2018,0.00235
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,IS,Iceland,2019,0.00495
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,IS,Iceland,2020,0.00261
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,IS,Iceland,2021,0.00319
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,IS,Iceland,2022,0.01045
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,IS,Iceland,2023,0.01092
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,IS,Iceland,2024,0.0154
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,IT,Italy,2015,105.48628
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,IT,Italy,2016,104.13817
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,IT,Italy,2017,104.28709
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,IT,Italy,2018,95.33478
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,IT,Italy,2019,91.23458
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,IT,Italy,2020,81.21325
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,IT,Italy,2021,85.43993
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,IT,Italy,2022,94.05411
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,IT,Italy,2023,74.81956
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,IT,Italy,2024,63.5031
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,LT,Lithuania,2015,3.09322
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,LT,Lithuania,2016,2.88657
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,LT,Lithuania,2017,2.51196
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,LT,Lithuania,2018,2.36036
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,LT,Lithuania,2019,2.18973
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,LT,Lithuania,2020,2.49194
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,LT,Lithuania,2021,2.6158
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,LT,Lithuania,2022,2.4026
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,LT,Lithuania,2023,2.3371
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,LT,Lithuania,2024,2.18599
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,LU,Luxembourg,2015,0.45684
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,LU,Luxembourg,2016,0.24999
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,LU,Luxembourg,2017,0.24022
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,LU,Luxembourg,2018,0.21695
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,LU,Luxembourg,2019,0.20302
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,LU,Luxembourg,2020,0.20709
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,LU,Luxembourg,2021,0.25774
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,LU,Luxembourg,2022,0.21645
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,LU,Luxembourg,2023,0.17756
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,LU,Luxembourg,2024,0.15103
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,LV,Latvia,2015,1.74642
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,LV,Latvia,2016,1.8219
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,LV,Latvia,2017,1.51068
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,LV,Latvia,2018,1.89332
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,LV,Latvia,2019,1.78309
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,LV,Latvia,2020,1.32966
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,LV,Latvia,2021,1.39268
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,LV,Latvia,2022,0.9569
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,LV,Latvia,2023,0.9674
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,LV,Latvia,2024,1.05236
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,MT,Malta,2015,0.88381
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,MT,Malta,2016,0.57657
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,MT,Malta,2017,0.72342
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,MT,Malta,2018,0.69786
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,MT,Malta,2019,0.73908
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,MT,Malta,2020,0.80985
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,MT,Malta,2021,0.77163
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,MT,Malta,2022,0.79642
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,MT,Malta,2023,0.7987
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,MT,Malta,2024,0.7366
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,NL,Netherlands,2015,69.20123
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,NL,Netherlands,2016,67.30571
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,NL,Netherlands,2017,62.95031
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,NL,Netherlands,2018,59.2648
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,NL,Netherlands,2019,56.73441
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,NL,Netherlands,2020,46.91833
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,NL,Netherlands,2021,46.92285
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,NL,Netherlands,2022,44.95268
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,NL,Netherlands,2023,37.08613
