freq,size_emp,nace_r2,indic_is,unit,country_code,year,ai_adoption_pct
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,PT,2024,8.63
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,PT,2025,11.54
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,RO,2021,1.38
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,RO,2023,1.51
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,RO,2024,3.07
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,RO,2025,5.21
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,RS,2021,0.9
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,RS,2023,1.82
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,RS,2024,6.95
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,RS,2025,10.12
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,SE,2021,9.92
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,SE,2023,10.37
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,SE,2024,25.09
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,SE,2025,35.04
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,SI,2021,11.73
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,SI,2023,11.37
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,SI,2024,20.89
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,SI,2025,21.61
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,SK,2021,5.19
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,SK,2023,7.04
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,SK,2024,10.78
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,SK,2025,18.0
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,TR,2021,2.69
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,TR,2023,5.51
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,TR,2024,4.42
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,TR,2025,7.41
