geo,country,year,renewable_energy_share
EL,Greece,2018,18.001
EL,Greece,2019,19.633
EL,Greece,2020,21.749
EL,Greece,2021,22.001
EL,Greece,2022,22.671
EL,Greece,2023,25.269
EL,Greece,2024,25.364
ES,Spain,2015,16.221
ES,Spain,2016,17.015
ES,Spain,2017,17.118
ES,Spain,2018,17.023
ES,Spain,2019,17.852
ES,Spain,2020,21.22
ES,Spain,2021,20.552
ES,Spain,2022,21.837
ES,Spain,2023,24.981
ES,Spain,2024,25.417
EU27_2020,European Union - 27 countries (from 2020),2015,17.82
EU27_2020,European Union - 27 countries (from 2020),2016,17.978
EU27_2020,European Union - 27 countries (from 2020),2017,18.411
EU27_2020,European Union - 27 countries (from 2020),2018,19.096
EU27_2020,European Union - 27 countries (from 2020),2019,19.887
EU27_2020,European Union - 27 countries (from 2020),2020,22.038
EU27_2020,European Union - 27 countries (from 2020),2021,21.897
EU27_2020,European Union - 27 countries (from 2020),2022,23.003
EU27_2020,European Union - 27 countries (from 2020),2023,24.579
EU27_2020,European Union - 27 countries (from 2020),2024,25.241
FI,Finland,2015,39.23
FI,Finland,2016,38.943
FI,Finland,2017,40.857
FI,Finland,2018,41.185
FI,Finland,2019,42.807
FI,Finland,2020,43.939
FI,Finland,2021,42.819
FI,Finland,2022,47.74
FI,Finland,2023,50.784
FI,Finland,2024,52.124
FR,France,2015,14.803
FR,France,2016,15.451
FR,France,2017,15.847
FR,France,2018,16.384
FR,France,2019,17.174
FR,France,2020,19.109
FR,France,2021,19.391
FR,France,2022,20.33
FR,France,2023,22.462
FR,France,2024,23.229
GE,Georgia,2021,18.292
GE,Georgia,2022,18.141
GE,Georgia,2023,19.85
GE,Georgia,2024,19.452
HR,Croatia,2015,28.969
HR,Croatia,2016,28.266
HR,Croatia,2017,27.28
HR,Croatia,2018,28.047
HR,Croatia,2019,28.466
HR,Croatia,2020,31.023
HR,Croatia,2021,31.285
HR,Croatia,2022,28.088
HR,Croatia,2023,28.088
HR,Croatia,2024,26.477
HU,Hungary,2015,14.495
HU,Hungary,2016,14.377
HU,Hungary,2017,13.556
HU,Hungary,2018,12.548
HU,Hungary,2019,12.634
HU,Hungary,2020,13.85
HU,Hungary,2021,14.134
HU,Hungary,2022,15.128
HU,Hungary,2023,17.117
HU,Hungary,2024,18.264
IE,Ireland,2015,9.083
IE,Ireland,2016,9.189
IE,Ireland,2017,10.52
IE,Ireland,2018,10.942
IE,Ireland,2019,11.979
IE,Ireland,2020,16.16
IE,Ireland,2021,12.945
IE,Ireland,2022,13.017
IE,Ireland,2023,15.243
IE,Ireland,2024,16.064
IS,Iceland,2015,71.949
IS,Iceland,2016,75.329
IS,Iceland,2017,74.104
IS,Iceland,2018,77.173
IS,Iceland,2019,78.612
IS,Iceland,2020,83.725
IS,Iceland,2021,79.618
IS,Iceland,2022,78.735
IS,Iceland,2023,79.444
IS,Iceland,2024,79.332
IT,Italy,2015,17.525
IT,Italy,2016,17.415
IT,Italy,2017,18.267
IT,Italy,2018,17.796
IT,Italy,2019,18.181
IT,Italy,2020,20.359
IT,Italy,2021,18.888
IT,Italy,2022,18.826
IT,Italy,2023,19.179
IT,Italy,2024,19.385
LT,Lithuania,2015,25.748
LT,Lithuania,2016,25.612
LT,Lithuania,2017,26.038
LT,Lithuania,2018,24.695
LT,Lithuania,2019,25.474
LT,Lithuania,2020,26.773
LT,Lithuania,2021,28.167
LT,Lithuania,2022,29.599
LT,Lithuania,2023,31.927
LT,Lithuania,2024,35.408
LU,Luxembourg,2015,4.987
LU,Luxembourg,2016,5.364
LU,Luxembourg,2017,6.194
LU,Luxembourg,2018,8.942
LU,Luxembourg,2019,7.046
LU,Luxembourg,2020,11.699
LU,Luxembourg,2021,11.713
LU,Luxembourg,2022,14.286
LU,Luxembourg,2023,14.312
LU,Luxembourg,2024,14.742
LV,Latvia,2015,37.538
LV,Latvia,2016,37.138
LV,Latvia,2017,39.008
LV,Latvia,2018,40.019
LV,Latvia,2019,40.929
LV,Latvia,2020,42.132
LV,Latvia,2021,42.112
LV,Latvia,2022,43.786
LV,Latvia,2023,43.25
LV,Latvia,2024,45.535
MD,Moldova,2015,26.173
MD,Moldova,2016,26.888
MD,Moldova,2017,27.836
MD,Moldova,2018,27.476
MD,Moldova,2019,23.843
MD,Moldova,2020,25.057
MD,Moldova,2021,22.203
MD,Moldova,2022,21.54
MD,Moldova,2023,22.995
MD,Moldova,2024,20.769
ME,Montenegro,2015,43.073
ME,Montenegro,2016,41.529
ME,Montenegro,2017,39.693
ME,Montenegro,2018,38.801
ME,Montenegro,2019,37.722
ME,Montenegro,2020,43.77
ME,Montenegro,2021,39.891
ME,Montenegro,2022,41.064
ME,Montenegro,2023,40.883
ME,Montenegro,2024,40.822
MK,North Macedonia,2015,19.526
MK,North Macedonia,2016,18.044
MK,North Macedonia,2017,19.636
MK,North Macedonia,2018,18.179
MK,North Macedonia,2019,17.485
MK,North Macedonia,2020,19.222
MK,North Macedonia,2021,19.115
MK,North Macedonia,2022,20.01
MK,North Macedonia,2023,20.207
MK,North Macedonia,2024,21.811
MT,Malta,2015,5.119
MT,Malta,2016,6.208
MT,Malta,2017,7.219
MT,Malta,2018,7.914
MT,Malta,2019,8.23
MT,Malta,2020,10.714
MT,Malta,2021,12.631
MT,Malta,2022,14.04
MT,Malta,2023,15.437
MT,Malta,2024,17.21
