id,org_id,name,status,city,country,latitude,longitude,website,available_voltage_services
10813,30155,Cellnex Datacenter Den Haag,ok,The Hague,NL,52.080714,4.335857,https://www.cellnex.com,
10823,2,Equinix ML5 - Milan,ok,5 Settimo Milanese,IT,45.475395,9.038363,http://www.equinix.com,
10854,27813,PAM00,ok,Pamiers,FR,,,https://www.equadex.net/,
10856,17593,T-Mobile CZ DC7,ok,Prague,CZ,50.06393,14.53249,,
10887,6500,intersaar SB3,ok,Saarbrücken,DE,49.240384,6.955457,https://www.intersaar.de/,
10912,30020,ADISTA Groupe,ok,Tours,FR,47.386744,0.695114,,
10913,30020,Datacenter Cyrès,ok,Tours,FR,47.436009,0.695409,,
10974,314,LCL Brussels South,ok,Beersel,BE,50.759693,4.26917,https://www.lcl.be,
10994,508,TDC Borups Allé,ok,Copenhagen N,DK,55.692097,12.536813,,
11001,25756,DEV Italia DataCenter Pisa,ok,Pisa,IT,,,http://www.devitalia.it,
11015,41935,UltraEdge Grenoble,ok,Grenoble,FR,45.161088,5.712713,http://www.ultraedge.com/,
11017,17600,nLighten Besancon MLH1,ok,Besançon,FR,47.225881,5.973704,https://www.nlighten.com,
11021,13052,LayerBridge WhiteGate,ok,Bucharest,RO,44.484116,26.058284,https://www.enginyring.com,
11026,29887,Comway Sibiu,ok,Sibiu,RO,45.799593,24.138179,,
11038,20737,WhiteHat 2,ok,Brăila,RO,45.276552,27.981643,https://whitehat.ro,
11077,30319,Wipak Walsrode,ok,Walsrode,DE,52.906968,9.653239,https://wipak.com/de/,
11081,1196,Seeweb FRO2,ok,Frosinone,IT,41.632386,13.269724,https://www.seeweb.it/,
11105,20989,BADEN CLOUD Appenweier (APW01),ok,Appenweier,DE,48.550194,7.972655,https://www.leitwerk.de,
11152,1483,M-net Augsburg,ok,Augsburg,DE,48.3715,10.91167,https://www.m-net.de,
11171,6350,conova - Datacenter 6/7,ok,Hallein,AT,47.706159,13.08283,https://www.conova.com,['480 VAC']
11181,2,"Equinix MU4 - Munich, Dornach",ok,Aschheim,DE,48.146393,11.682389,http://www.equinix.com,
11203,25714,dc2scale ALP1 (Grenoble),ok,Grenoble,FR,45.19118,5.704659,https://dc2scale.fr/,
11227,2698,Glesys Oulu 1,ok,Oulu,FI,65.061827,25.438009,http://www.glesys.com,
11228,2698,Glesys Oulu 2,ok,Oulu,FI,65.05896,25.439577,http://www.glesys.com,
11287,2,Equinix BX1 - Bordeaux,ok,Bruges,FR,44.89582,-0.611387,http://www.equinix.com,
11297,491,NTT Madrid 1 Data Center (MAD1),ok,Las Rozas de Madrid,ES,40.499827,-3.890363,https://services.global.ntt/en-us/services-and-products/global-data-centers,
11326,8089,CE Colo  DC7 Prague,ok,Prague,CZ,50.063937,14.532491,https://cecolo.com/,
11358,30878,partimus Rechenzentrum Bad Oeynhausen,ok,Bad Oeynhausen,DE,52.231925,8.806405,https://www.partimus.com,
11360,30878,partimus Rechenzentrum Limburg,ok,Limburg an der Lahn,DE,50.38104,8.095829,https://www.partimus.com,
11405,30983,Extendo Datacenter Belfort,ok,Belfort,FR,47.644566,6.843367,,
11441,30727,K2 DUB1,ok,Blanchardstown,IE,53.407134,-6.358234,https://www.k2datacentres.com/,
11448,41935,Ultraedge Canteleu,ok,Canteleu,FR,49.446514,1.028004,http://www.ultraedge.com/,
11479,31173,TTI Repeaterstation Sattledt,ok,Sattledt,AT,48.080989,14.047849,,
11498,2287,Salamandre,ok,Paris,FR,48.857754,2.404864,https://www.ielo.net/,['48 VDC']
11520,31255,OPTICNET Ploiesti,ok,Ploiesti,RO,44.936519,26.023637,https://opticnet.ro/,
11521,31257,Servanet FRG5,ok,Sundsvall,SE,62.394687,17.341271,,
11531,31278,Vienna Twin Tower,ok,Vienna,AT,48.168762,16.34682,,
11532,31279,Vienna BioCenter,ok,Vienna,AT,48.189245,16.402682,https://www.viennabiocenter.org/,
11533,31280,Millennium Tower,ok,Vienna,AT,48.240549,16.386609,https://www.millenniumtower.at,
11534,31281,Vienna International Center,ok,Vienna,AT,48.233585,16.417113,https://www.unov.org/unov,
11535,31282,s IT Solutions AT Spardat Datacenter,ok,Vienna,AT,48.17563,16.402305,https://www.s-team.at,
11536,28858,Arelion Wien Süd,ok,Vienna,AT,48.133497,16.30591,https://www.arelion.com/,
11537,31283,ÖBB Telekom Service Datacenter,ok,Vienna,AT,48.260343,16.399595,,
11538,1737,next layer Medienhaus,ok,Vienna,AT,48.242703,16.36476,http://www.nextlayer.com,
11539,31284,Europlaza Vienna,ok,Vienna,AT,48.171168,16.334275,https://www.europlaza.at,
11541,31294,ATOS Datacenter Siemens City,ok,Vienna,AT,48.268952,16.422614,,
11542,31295,Florido Tower,ok,Vienna,AT,48.257683,16.396944,https://peakvienna.at/,
11543,16773,T-Center Vienna,ok,Vienna,AT,48.187285,16.402231,,
11544,31296,Austria Campus,ok,Vienna,AT,48.222979,16.394049,https://www.austria-campus.at,
11547,22290,efectRO DC2,ok,Cluj Napoca,RO,,,https://www.efect.ro,
11566,31400,Datacenter Breda,ok,Breda,NL,51.593391,4.803511,https://datacenterbreda.nl/,
11568,5603,Civicos Networking DCARRECIFE,ok,Arrecife,ES,28.963987,-13.550746,https://www.civicos.com,
11571,27608,Rechenzentrum Luttum,ok,Kirchlinteln,DE,52.909553,9.306143,https://www.t-m-net.de,"['48 VDC', '400 VAC']"
11675,17600,nLighten Berlin BER1,ok,Kleinmachnow,DE,52.408645,13.186844,https://www.nlighten.com,
11697,1214,Talejas iela 1,ok,Riga,LV,56.991349,24.170101,http://www.lvrtc.lv,['48 VDC']
11733,8735,EdgeConneX Barcelona (EDCBCN01),ok,Sant Boi de Llobregat,ES,41.324942,2.032896,http://www.edgeconnex.com,
11737,31602,ISIS-COM Datacenter Szombathely,ok,Szombathely,HU,47.229308,16.622134,https://www.isiscom.hu/,
11760,1865,Celeste Fil d’Ariane,ok,Albi,FR,43.91945,2.182741,https://www.celeste.fr,
11764,20737,WhiteHat 3,ok,Rotunda,RO,46.291668,26.799279,https://whitehat.ro,
11770,9527,ScaleUp Datacenter BER03,ok,Berlin,DE,52.513685,13.61756,https://www.scaleuptech.com,
11780,31694,Thésée Datacenter,ok,Aubergenville,FR,,,https://thesee-datacenter.fr/,
11792,31498,EXA Edge DC Bonn,ok,Bonn,DE,50.741369,7.069673,https://exainfra.net,
11793,31498,EXA Edge DC Bremen,ok,Bremen,DE,53.076886,8.773821,https://exainfra.net,
11794,31498,EXA Edge DC Barleben,ok,Barleben,DE,52.193602,11.605514,https://exainfra.net,
11795,17600,nLighten Cologne CGN1,ok,Hürth,DE,50.88612,6.91235,https://www.nlighten.com,
11797,31498,EXA Edge DC Hilden,ok,Hilden,DE,51.169756,6.918782,https://exainfra.net,
11798,17600,nLighten Dusseldorf DUS1,ok,Hilden,DE,51.170252,6.918783,https://www.nlighten.com,
11799,31498,EXA Edge DC Eschenfelden,ok,Hirschbach,DE,49.583757,11.614458,https://exainfra.net,
11800,31498,EXA Edge DC Essen,ok,Gladbeck,DE,51.567254,6.965412,https://exainfra.net,
11801,17600,nLighten Frankfurt FRA1,ok,Eschborn,DE,50.14418,8.55744,https://www.nlighten.com,
11802,31498,EXA Edge DC Frankfurt1,ok,Frankfurt,DE,50.118678,8.736356,https://exainfra.net,
11803,31498,EXA Edge DC Hannover,ok,Hannover,DE,52.406419,9.825735,https://exainfra.net,
11804,17600,nLighten Hanover HAJ1,ok,Hannover,DE,52.405196,9.734035,https://www.nlighten.com,
11805,17600,nLighten Hamburg HAM1,ok,Hamburg,DE,53.453723,10.005829,https://www.nlighten.com,
11806,31498,EXA Edge DC Hamburg,ok,Hamburg,DE,53.550942,10.046399,https://exainfra.net,
11807,31498,EXA Edge DC Kehl,ok,Kehl,DE,48.57838,7.804854,https://exainfra.net,
11808,17600,nLighten Leipzig LEJ1,ok,Schkeuditz,DE,51.3528,12.205,https://www.nlighten.com,
11809,31498,EXA Edge DC Garching,ok,Garching bei München,DE,48.255577,11.612221,https://exainfra.net,
11810,17600,nLighten Munich MUC1,ok,Garching bei München,DE,48.255081,11.611552,https://www.nlighten.com,
11811,17600,nLighten Nuremberg NUE1,ok,Nuremberg,DE,49.454129,11.014413,https://www.nlighten.com,
11812,31498,EXA Edge DC Stuttgart,ok,Stuttgart,DE,48.72525,9.116589,https://exainfra.net,
11813,17600,nLighten Stuttgart STR1,ok,Stuttgart,DE,48.721428,9.128587,https://www.nlighten.com,
11814,31498,EXA Edge DC Velten,ok,Velten,DE,52.665726,13.210332,https://exainfra.net,
11817,31498,EXA Edge DC Graz,ok,Graz,AT,47.043339,15.465817,https://exainfra.net,
11818,31498,EXA Edge DC Salzburg,ok,Salzburg,AT,47.822732,13.040322,https://exainfra.net,
11819,31498,EXA Edge DC Wien,ok,Vienna,AT,48.137352,16.308034,https://exainfra.net,
11820,31498,EXA Edge DC Antwerp,ok,Antwerp,BE,51.329571,4.344629,https://exainfra.net,
11821,31498,EXA Edge DC Bruges,ok,Zedelgem,BE,51.122502,3.168293,https://exainfra.net,
11822,31498,EXA Edge DC Zaventem,ok,Zaventem,BE,50.875627,4.488287,https://exainfra.net,
11823,31498,EXA Edge DC Liege,ok,Liege,BE,50.690208,5.620842,https://exainfra.net,
11836,11626,BT-BLUE Datacenter 1,ok,Châteaubourg,FR,,,http://www.bretagnetelecom.com/,
11840,2,"Equinix FR8 - Frankfurt, West",ok,Frankfurt,DE,50.097357,8.58628,http://www.equinix.com,
11857,31498,EXA Edge DC Sequedin,ok,Sequedin,FR,50.626504,2.99512,https://exainfra.net,
11858,31498,EXA Edge DC Nice,ok,Nice,FR,43.710239,7.193273,https://exainfra.net,
11859,31498,EXA Edge DC Nancy,ok,Nancy,FR,48.709942,6.169665,https://exainfra.net,
11891,31498,EXA Edge DC Poitiers,ok,Poitiers,FR,46.589714,0.390267,https://exainfra.net,
11892,31498,EXA Edge DC Strasbourg,ok,Strasbourg,FR,48.59329,7.795073,https://exainfra.net,
11893,31498,EXA Edge DC Toulouse,ok,Toulouse,FR,43.640861,1.428143,https://exainfra.net,
11894,31498,EXA Edge DC Vauchelles,ok,Vauchelles,FR,49.592339,2.980772,https://exainfra.net,
11895,31498,EXA Edge DC Willerval,ok,Willerval,FR,50.377711,2.852547,https://exainfra.net,
11896,31498,EXA Edge DC Ychoux,ok,Ychoux,FR,44.331877,-0.947918,https://exainfra.net,
11905,8420,DCstar Datacenter Oostkamp DCO,ok,Oostkamp,BE,51.16641,3.234204,https://www.dcstar.be/,
11906,8420,DCstar Datacenter Burcht DCB,ok,Zwijndrecht,BE,51.210985,4.34575,https://www.dcstar.be/,
11953,31498,EXA Edge DC Rotterdam,ok,Rotterdam,NL,51.930252,4.414322,https://exainfra.net,
11954,31498,EXA Edge DC Utrecht,ok,Soesterberg,NL,52.123373,5.277846,https://exainfra.net,
11955,31498,EXA Edge DC Basauri,ok,Basauri,ES,43.229184,-2.881757,https://exainfra.net,
11956,31498,EXA Edge DC Hereña,ok,Hereña,ES,,,https://exainfra.net,
11968,31498,EXA Edge DC Valencia,ok,Valencia,ES,39.473433,-0.536672,https://exainfra.net,
11983,2136,Namex Bari Datacenter,ok,Bari,IT,41.109552,16.80333,https://www.namex.it,
12032,7459,WIIT Datacenter MUC8,ok,Haar,DE,48.109091,11.717528,https://www.wiit.cloud,
12167,32310,Hermes Telecom DC,ok,Antwerp,BE,51.264077,4.399495,https://hermestelecom.be/,
12220,31593,Venezia_A,ok,Venice,IT,,,http://www.consultarea.net,
12226,32338,GDC Tallinn DC-1,ok,Saue vald,EE,59.386898,24.561308,https://www.greenergydatacenters.com/,"['48 VDC', '400 VAC']"
12227,8916,TWT Datacenter,ok,Milan,IT,45.496931,9.179945,,
12266,491,NTT Berlin 2 Data Center (BER2),ok,Berlin,DE,52.440344,13.370207,https://services.global.ntt/en-us/services-and-products/global-data-centers,
12288,32498,ViaData Toren,ok,Tjerkgaast,NL,52.909137,5.698611,https://www.viadata.nl/,
12297,9351,TNG DataCentre Kiel - Wik,ok,Kiel,DE,54.363564,10.133804,https://www.tng.de,
12314,26110,ETIX Nantes #1,ok,Saint-Herblain,FR,47.231464,-1.631011,https://www.etixeverywhere.com,
12315,26110,ETIX Nantes #2,ok,Carquefou,FR,47.277391,-1.469806,https://www.etixeverywhere.com,
12316,26110,ETIX Nantes #3,ok,Couëron,FR,47.23842,-1.667363,https://www.etixeverywhere.com,
12317,26110,ETIX Vendée #1,ok,La Roche-sur-Yon,FR,46.666065,-1.353256,https://www.etixeverywhere.com,
12318,26110,ETIX Lille #1,ok,Tourcoing,FR,50.700168,3.15676,https://www.etixeverywhere.com,
12338,34593,Telia Kolding,ok,Kolding,DK,55.536825,9.473829,https://norlys.dk/internet/,
12354,1120,Sofia Data Center (SDC) 2,ok,Sofia,BG,42.656338,23.369257,,
12355,1120,Sofia Data Center (SDC) Stolnik,ok,Stolnik,BG,42.656338,23.369257,,
12375,32675,Cloud Europe,ok,Rome,IT,41.932742,12.629473,,
12454,33610,CSN Solutions - Kehrsen,ok,Kehrsen,DE,53.583837,10.788402,https://csn-solutions.de,
12473,8534,PLUTEX DC01,ok,Bremen,DE,53.076377,8.77224,https://www.plutex.de,
12474,8534,PLUTEX DC05,ok,Bremen,DE,53.075099,8.769077,https://www.plutex.de,
12507,32785,Penta Infra Berlin BER01,ok,Berlin,DE,52.513685,13.61756,https://penta-infra.com,
12508,32785,Penta Infra Dusseldorf DUS01,ok,Meerbusch,DE,51.245111,6.694634,https://penta-infra.com,
12509,32785,Penta Infra Berlin BER02,ok,Berlin,DE,52.513685,13.61756,https://penta-infra.com,
12510,32785,Penta Infra Copenhagen CPH01,ok,"Glostrup, Copenhagen",DK,55.68209,12.395427,https://penta-infra.com,
12511,32785,Penta Infra Geleen GLN01,ok,Geleen,NL,50.979857,5.828044,https://penta-infra.com,
12514,32785,Penta Infra Leipzig LEJ01,ok,Leipzig,DE,51.33967,12.301757,https://penta-infra.com,
12565,1007,R-KOM Datacenter Ostbayern 1,ok,Regensburg,DE,49.01335,12.1482,https://www.r-kom.de,
12566,1007,R-KOM Datacenter Ostbayern 2,ok,Regensburg,DE,49.013454,12.148083,https://www.r-kom.de,
12567,1007,R-KOM Datacenter Ostbayern 3,ok,Lappersdorf,DE,49.036964,12.086628,https://www.r-kom.de,
12570,32999,Tornado Datacenter - FRA01,ok,Langen,DE,50.00253,8.6568,,['400 VAC']
12599,24513,Elmec BR4,ok,Brunello,IT,45.769448,8.810173,http://www.elmec.com,
12637,6031,TKRZ Rheine (RHE1),ok,Rheine,DE,52.310703,7.440631,https://www.tkrz-business.de,
12638,6031,TKRZ Emsdetten (EMS1),ok,Emsdetten,DE,52.157579,7.554901,https://www.tkrz-business.de,
12639,6031,TKRZ Nordhorn (NOH1),ok,Nordhorn,DE,52.409179,7.050301,https://www.tkrz-business.de,
12640,6031,TKRZ Greven (GRV1),ok,Greven,DE,52.130914,7.695303,https://www.tkrz-business.de,
12653,5526,1&1 Versatel Telehaus Münster,ok,Münster,DE,51.935079,7.648998,https://www.1und1.net/,
12746,33273,PCK IT Datacenter Lindau,ok,Lindau,DE,47.553064,9.71927,,
12758,10478,Netia Data Center MIND,ok,Jawczyce,PL,52.210771,20.848805,https://www.netia.pl,
12761,10478,Netia Data Center BRAIN,ok,Grodzisk Mazowiecki,PL,52.11117,20.600122,https://www.netia.pl,
12762,10478,Netia Jaworzno (JAWOH001),ok,Jaworzno,PL,50.218129,19.260778,https://www.netia.pl,
12763,10478,Netia Poznań (POZNH003),ok,Poznan,PL,52.405482,16.920848,https://www.netia.pl,
12780,1697,Groupe Cyllene - DC - Montigny les Bretonneux,ok,Montigny-le-Bretonneux,FR,48.774932,2.018664,https://www.groupe-cyllene.com/,
12806,33088,DarkNET Burgas,ok,Burgas,BG,42.516571,27.459539,,
12842,33498,Fiber 23,ok,Rome,IT,41.787929,12.320431,https://fiber23.it,
12855,9249,31173 DC Lund Mobilvägen,ok,Lund,SE,55.716839,13.2251,http://www.31173.se,"['48 VDC', '400 VAC']"
12894,32785,Penta Infra Hamburg HAM01,ok,Hamburg,DE,53.619052,10.001546,https://penta-infra.com,
12895,32785,Penta Infra Cologne CGN01,ok,Cologne,DE,50.93382,7.003018,https://penta-infra.com,
12933,3172,Retelit Avalon 2,ok,Settimo Milanese (MI),IT,45.48054,9.067184,https://www.retelit.it,
12934,3172,Retelit Avalon 3,ok,Milan,IT,45.44797,9.120391,https://www.retelit.it,
12955,24354,STACKIT Ellhofen (DC08),ok,Ellhofen,DE,49.145913,9.307957,https://stackit.de/,
12957,8592,Digital Realty Brussels BRU3,ok,Zaventem,BE,50.873683,4.504025,https://www.digitalrealty.com,
12958,8592,Digital Realty Brussels BRU4,ok,Zaventem,BE,50.873683,4.504025,https://www.digitalrealty.com,
13040,16767,WiTCOM Wiesbaden,ok,Wiesbaden,DE,50.062309,8.238218,https://www.witcom.de,
13055,33885,Bytesnet Groningen,ok,Groningen,NL,53.244613,6.527313,https://www.bytesnet.nl,
13065,33898,Holland Datacenters,ok,Kloetinge,NL,51.502547,3.909723,https://hollanddatacenters.nl/,
13088,19760,Artnet DC Gdansk MP100,ok,Gdansk,PL,54.383947,18.638972,http://www.artnet.pl,
13089,19760,Artnet DC Gdynia GAC133,ok,Gdynia,PL,54.459223,18.459429,http://www.artnet.pl,
13096,2698,Glesys Oulu 3,ok,Oulu,FI,65.013196,25.51044,http://www.glesys.com,
13173,23155,Rocket Way DC Boissano,ok,Boissano,IT,44.132007,8.219991,http://www.rocketway.it,['48 VDC']
13190,17600,nLighten Sophia Antipolis NCE2,ok,Valbonne,FR,43.624328,7.038502,https://www.nlighten.com,
13191,17600,nLighten Paris PAR1,ok,Lognes,FR,48.839125,2.630371,https://www.nlighten.com,
